alert text,priority,suggested action 
Track circuit power supply failure,3,3
Track circuit power supply ok,3,3
Disturbed,3,3
Not disturbed,3,3
Earth leakage,3,3
Earth leakage cleared,3,3
Battery undervoltage,3,3
Battery ok,3,3
Main supply A not available,3,3
Main supply A available,3,3
Main supply B not available,3,3
Main supply B available,3,3
Main supply A not feeding,3,3
Main supply A feeding,3,3
Main supply B not feeding,3,3
Main supply B feeding,3,3
Load on bypass,3,3
Load on inverter,3,3
Battery operation ,3,3
Battery not in operation,3,3
Manual bypass on,3,3
Manual bypass off,3,3
UPS failure,3,3
UPS ok,3,3
Battery failure,3,3
Battery ok,3,3
Overtemperature alarm,3,3
Overtemperature alarm cleared,3,3
Bypass in operation,3,3
Bypass not in operation,3,3
Main backup feeding failure,3,3
Main backup feeding ok,3,3
Fan failure,3,3
Fan ok,3,3
Disturbed,3,3
Not disturbed,3,3
Activated,3,3
Reset,3,3
S11: EB: HW failure: EB-Readback failed,3,3
S11: No emergency brake,3,3
S12: EB: FDI procedure in progress,3,3
S12: No emergency brake,3,3
S13: EB: WMA synchronisation problem on redundancy changeover,3,3
S13: No emergency brake,3,3
S14: EB: Moving with deactivated cabs,3,3
S14: No emergency brake,3,3
S15: EB: Moving with two activated cabs,3,3
S15: No emergency brake,3,3
S16: EB: Moving while waiting for RM acknowledgment,3,3
S16: No emergency brake,3,3
S17: EB: Moving while ACC in progress,3,3
S17: No emergency brake,3,3
S19: Moving while incomplete train consist at start-up,3,3
S19: No emergency brake,3,3
S20: EB: Moving while TDB-Upload in progress,3,3
S20: No emergency brake,3,3
S22: EB: Moving while train consist determination in progress,3,3
S22: No emergency brake,3,3
S23: EB: Moving while IO test in progress,3,3
S23: No emergency brake,3,3
S24: EB: Moving while switchover to OTC in progress,3,3
S24: No emergency brake,3,3
S25: EB: Moving while DDI active,3,3
S25: No emergency brake,3,3
S26: EB: Moving while NR responsibility not confirmed,3,3
S26: No emergency brake,3,3
S27: EB: Moving while standstill supervision requested by OBCU_ITF,3,3
S27: No emergency brake,3,3
S28: EB: Plateau speed violated,3,3
S28: No emergency brake,3,3
S29: EB: POR violated,3,3
S29: No emergency brake,3,3
S30: EB: POP violated: OBCU_MAL: CTC: Radio loss (Freshness timeout),3,3
S30: No emergency brake,3,3
S31: EB: POP violated: OBCU_MAL: CTC: RAUZ restrictive,3,3
S31: No emergency brake,3,3
S32: EB: POP violated: OBCU_MAL: CTC: 'TSR is 0',3,3
S32: No emergency brake,3,3
S33: EB: POP violated: OBCU_MAL: CTC: Sig. restr. w. OL supervision,3,3
S33: No emergency brake,3,3
S34: EB: POP violated: OBCU_MAL: CTC: Sig.  restr. wo. OL supervision,3,3
S34: No emergency brake,3,3
S35: EB: POP violated: OBCU_MAL: CTC: Point restrictive,3,3
S35: No emergency brake,3,3
S36: EB: POP violated: OBCU_MAL: CTC: Crossing restrictive,3,3
S36: No emergency brake,3,3
S37: EB: POP violated: OBCU_MAL: CTC: Conditional restriction COR,3,3
S37: No emergency brake,3,3
S38: EB: POP violated: OBCU_MAL: CTC: ACC without reversal MA,3,3
S38: No emergency brake,3,3
S39: EB: POP violated: OBCU_MAL: CTC: Neighb. TDB sect. not available,3,3
S39: No emergency brake,3,3
S40: EB: POP violated: OBCU_MAL: CTC: No MA after redund. changeover,3,3
S40: No emergency brake,3,3
S49: EB: POP violated: WCU_MAL: CTC: Undefined WCU_MAL  ,3,3
S49: No emergency brake,3,3
S50: EB: POP violated: WCU_MAL: CTC: Zero length WCU_MAL,3,3
S50: No emergency brake,3,3
S51: EB: POP violated: WCU_MAL: CTC: Type 'Automatic train' ,3,3
S51: No emergency brake,3,3
S52: EB: POP violated: WCU_MAL: CTC: Type 'Manual controlled train',3,3
S52: No emergency brake,3,3
S53: EB: POP violated: WCU_MAL: CTC: Type 'Non-reporting train',3,3
S53: No emergency brake,3,3
S54: EB: POP violated: WCU_MAL: CTC: Type 'Signal w. OL supervision',3,3
S54: No emergency brake,3,3
S55: EB: POP violated: WCU_MAL: CTC: Type 'Signal wo. OL supervision',3,3
S55: No emergency brake,3,3
S56: EB: POP violated: WCU_MAL: CTC: Type 'Other IXL condition',3,3
S56: No emergency brake,3,3
S57: EB: POP violated: WCU_MAL: CTC: Type 'Points not supervised',3,3
S57: No emergency brake,3,3
S58: EB: POP violated: WCU_MAL: CTC: Type 'RAUZ restrictive',3,3
S58: No emergency brake,3,3
S59: EB: POP violated: WCU_MAL: CTC: Type 'TSR is 0',3,3
S59: No emergency brake,3,3
S60: EB: POP violated: WCU_MAL: CTC: Type WCU_ATP boundary',3,3
S60: No emergency brake,3,3
S62: EB: POP violated: OBCU_MAL: CTC: 'Mode not allowed',3,3
S62: No emergency brake,3,3
S63: EB: POP violated: OBCU_MAL: CTC: 'FAO not allowed',3,3
S63: No emergency brake,3,3
S69: EB: ODO failure,3,3
S69: No emergency brake,3,3
S70: EB: ODO failure radar disqualified,3,3
S70: No emergency brake,3,3
S71: EB: ODO failure WIG disturbed,3,3
S71: No emergency brake,3,3
S72: EB: ODO sensor fusion failure,3,3
S72: No emergency brake,3,3
S73: EB: Delocalization due to unknown point position,3,3
S73: No emergency brake,3,3
S80: EB: Delocalization due to TDB-Upload,3,3
S80: No emergency brake,3,3
S81: EB: Delocalization after redundancy changeover,3,3
S81: No emergency brake,3,3
S82: EB: Delocalization due to balise read outside expect. window ,3,3
S82: No emergency brake,3,3
S83: EB: Delocalization due to known but unexpected Balise read,3,3
S83: No emergency brake,3,3
S84: EB: Delocalization due to BTM failure: (HW failure),3,3
S84: No emergency brake,3,3
S85: EB: Delocalization due to BTM failure (OBCU restart request),3,3
S85: No emergency brake,3,3
S86: EB: Train consist disrupted,3,3
S86: No emergency brake,3,3
S87: EB: Uncertainty interval exceeded ,3,3
S87: No emergency brake,3,3
S88: EB: Delocalization due to invalid TDB version of current section,3,3
S88: No emergency brake,3,3
S92: EB: Maximum allowed rollback distance/tolerance exceeded,3,3
S92: No emergency brake,3,3
S93: EB: Train doors are open while not at standstill,3,3
S93: No emergency brake,3,3
S94: EB: PSDs are open while not at standstill,3,3
S94: No emergency brake,3,3
S95: EB: EB due to EB test,3,3
S95: No emergency brake,3,3
S96: EB: Conditional Stop (PAD activation),3,3
S96: No emergency brake,3,3
S97: EB: Immediate Stop (Emergency push button operated),3,3
S97: No emergency brake,3,3
S98: EB: Remote Stop,3,3
S98: No emergency brake,3,3
S100: EB: RSRM distance is exceeded,3,3
S100: No emergency brake,3,3
S101: EB: Forward distance supervision violation in RMR,3,3
S101: No emergency brake,3,3
S102: EB: Evacuation in progress,3,3
S102: No emergency brake,3,3
"S103: EB: Standstill protection, propulsion cut-off is not available",3,3
S103: No emergency brake,3,3
S104: EB: Cab activated in RSRM,3,3
S104: No emergency brake,3,3
S105: EB: Standstill reached in RSRM,3,3
S105: No emergency brake,3,
S106: EB: Loss of TTS link in RSRM,3,
S106: No emergency brake,3,
S107: EB: Standstill is left while EB reported by RST during DTRO,3,
S107: No emergency brake,3,
S109: EB: ATP gets active due to redundancy take over in RSRM,3,
S109: No emergency brake,3,
S113: EB: Max number of consecutive rollback EBs exceeded,3,
S113: No emergency brake,3,
S114: EB: Max number FW distance violations in RMR exceeded,3,
S114: No emergency brake,3,
S120: EB: Moving while cab activation in FAO,3,
S120: No emergency brake,3,
S122: EB: Moving while Standstill supervision is activated,3,
S122: No emergency brake,3,
S128: EB: EB of passive OBCU,3,
S128: No emergency brake,3,
S129: EB: EB on passive OBCU due to EB on an active OBCU,3,
S129: No emergency brake,3,
S132: EB: Permanent EB in PM,3,
S132: No emergency brake,3,
S133: EB: Permanent EB in NR,3,
S133: No emergency brake,3,
E7: Stopping point missed Count nnn,3,
E9: Low adhesion type n significance n,3,
E11: Early EB after platform departure,3,
E14: Mutual Tests Result of OBCU nnnnn,3,
"E128: Balise Error (OBCU_ID: nnnnn, Balise_ID: nnnnn, Antenna: n)",3,
E129: Alarm (OBCU_ID: nnnnn),3,
E130: Button reactivation (OBCU_ID: nnnnn),3,
E131: Redundancy loss (OBCU_ID: nnnnn),3,
"E132: ATP or odometry shutdown (OBCU_ID: nnnnn, Shutdown ID: nnnnn)",3,
E133: NV_MAL / OSP exceeded (OBCU_ID: nnnnn),3,
E134: Mutual Tests (OBCU_ID: nnnnn),3,
Detrainment door opened,3,
Detrainment door closed,3,
Smoke detected,3,
No smoke detected,3,
Passenger Alarm Device activated,3,
Passenger Alarm Device deactivated,3,
TMS bogie1 air spring deflated,3,
TMS bogie1 air spring not deflated,3,
TMS bogie2 air spring deflated,3,
TMS bogie2 air spring not deflated,3,
TMS brake jam detected,3,
TMS brake jam not detected,3,
BECU bogie1 not released in speed,3,
BECU bogie1 released in speed,3,
BECU bogie2 not released in speed,3,
BECU bogie2 released in speed,3,
VCC PWM generator failure 1,3,
No VCC PWM generator failure 1,3,
VCC PWM generator failure 2,3,
No VCC PWM generator failure 2,3,
C/I PWMFG PWM signal from hardwire failure,3,
No C/I PWMFG PWM signal from hardwire failure,3,
VCC pantograph auto-drop detected,3,
VCC pantograph auto-drop not detected,3,
S257: Balise receiver device disturbed,3,
S257: Balise receiver device ok,3,
S258: Balise transmitter device disturbed,3,
S258: Balise transmitter device ok,3,
S259: Balise antenna disturbed,3,
S259: Balise antenna ok,3,
S261: Balise antenna cable disturbed,3,
S261: Balise antenna cable ok,3,
S263: Power Supply  (24V Balise)  disturbed,3,
S263: Power Supply  (24V Balise)  ok,3,
S264: Power Supply (5V Balise) disturbed,3,
S264: Power Supply (5V Balise) ok,3,
S265: Balise LBTM device disturbed,3,
S265: Balise LBTM device ok,3,
S266: OPG1 disturbed,3,
S266: OPG1 ok,3,
S267: OPG2 disturbed,3,
S267: OPG2 ok,3,
S268: Radar1 disturbed,3,
S268: Radar1 ok,3,
S269: Radar2 disturbed,3,
S269: Radar2 ok,3,
S270: ODO5 device disturbed,3,
S270: ODO5 device ok,3,
S271: SERIO5L device disturbed,3,
S271: SERIO5L device ok,3,
S272: Track data base (TDB) check failed,3,
S272: Track data base (TDB) check successful,3,
S273: 1st DIO5 device disturbed,3,
S273: 1st DIO5 device ok,3,
S274: 2nd DIO5 device disturbed,3,
S274: 2nd DIO5 device ok,3,
S275: 3rd DIO5 device disturbed,3,
S275: 3rd DIO5 device ok,3,
S276: 1st SRAUS5 device disturbed,3,
S276: 1st SRAUS5 device ok,3,
S277: 2nd SRAUS5 device disturbed,3,
S277: 2nd SRAUS5 device ok,3,
S278: EB readback does not fit with EB output,3,
S278: EB readback ok,3,
S279: Fan device disturbed,3,
S279: Fan device ok,3,
S280: Near cab active input disturbed ,3,
S280: Near cab active input ok,3,
S281: Far cab active input disturbed,3,
S281: Far cab active input ok,3,
S282: EB vehicle control input disturbed,3,
S282: EB vehicle control input ok,3,
S283: Doors closed and locked input disturbed,3,
S283: Doors closed and locked input ok,3,
S284: Evacuation request input disturbed,3,
S284: Evacuation request input ok,3,
S285: Near Acknowledge button disturbed,3,
S285: Near Acknowledge button ok,3,
S286: Near ATO release disturbed,3,
S286: Near ATO release ok,3,
S287: Near ATO start button disturbed,3,
S287: Near ATO start button ok,3,
S288: Train integrity input disturbed,3,
S288: Train integrity input ok,3,
S289: EB internal readback input disturbed,3,
S289: EB internal readback input ok,3,
S290: Fan input disturbed,3,
S290: Fan input ok,3,
S291: Conditional stop input disturbed,3,
S291: Conditional stop input ok,3,
S292: Immediate stop input disturbed,3,
S292: Immediate stop input ok,3,
S293: Redundancy status 2 input disturbed,3,
S293: Redundancy status 2 input ok,3,
S294: Redundancy status 1 input disturbed,3,
S294: Redundancy status 1 input ok,3,
S299: OTC input disturbed,3,
S299: OTC input ok,3,
S300: Far acknowledge button disturbed,3,
S300: Far Acknowledge button ok,3,
S301: Far ATO release disturbed,3,
S301: Far ATO release ok,3,
S302: Far ATO start button disturbed,3,
S302: Far ATO start button ok,3,
S305: Remote inputs disturbed,3,
S305: Remote inputs ok,3,
S306: Autocalibration warning OPG1,3,
S306: Autocalibration warning OPG1 ok,3,
S307: Autocalibration reaction OPG1,3,
S307: Autocalibration reaction OPG1 ok,3,
S308: Autocalibration warning OPG2,3,
S308: Autocalibration warning OPG2 ok,3,
S309: Autocalibration reaction OPG2,3,
S309: Autocalibration reaction OPG2 ok,3,
S310: Near enforce RM switch disturbed,3,
S310: Near enforce RM switch ok,3,
S311: Far enforce RM switch disturbed,3,
S311: Far enforce RM switch ok,3,
S312: Readback propulsion release input disturbed,3,
S312: Readback propulsion release input ok,3,
S315: Smoke detection input disturbed,3,
S315: Smoke Detection input ok,3,
S316: Detrainment door closed and locked indication input disturbed,3,
S316: Detrainment door closed and locked indication input ok,3,
S319: Fan input disturbed,3,
S319: Fan input ok,3,
S320: Bad accuracy for OPG 1,3,
S320: Accuracy for OPG 1 ok,3,
S321: Bad accuracy for OPG 2,3,
S321: Accuracy for OPG 2 ok,3,
S322: Crosstalk detected,3,
S322: Crosstalk ok,3,
S323: Safety proving circuit input disturbed,3,
S323: Safety proving circuit input ok,3,
S329: Sleep status input disturbed,3,
S329: Sleep status input ok,3,
S330: Train ready input disturbed,3,
S330: Train ready input ok,3,
S331: BTM plausibility check failed,3,
S331: BTM plausibility check ok,3,
S348: Propulsion release readback does not fit to output,3,
S348: Propulsion release readback ok,3,
S513: ATO not available (Fault status: n),3,
S513: ATO available,3,
S514: ATO track data base (TDB) check failed (Fault status: n),3,
S514: ATO track data base (TDB) check ok,3,
S515: ITF / ATP link failed (Fault status: n),3,
S515: ITF / ATP link ok,3,
S516: F401 module disturbed (Fault status: n),3,
S516: F401 module disturbed ok,3,
S517: MVB link error detected (Fault status: n),3,
S517: MVB link ok,3,
S769: CPU device disturbed (Fault status: n),3,
S769: CPU device ok,3,
S770: SERIAL board disturbed (Fault status: n),3,
S770: SERIAL board ok,3,
S773: Sudden power down (Fault status: n),3,
S773: Power ok,3,
S774: ATP link disturbed (Link status: n),3,
S774: ATP link ok,3,
S775: ATO link disturbed (Link status: n),3,
S775: ATO link ok,3,
S776: Neighbor OBCU link disturbed (Link status: n),3,
S776: Neighbour OBCU link ok,3,
S777: TMS link disturbed,3,
S777: TMS link ok,3,
S778: Near HMI link disturbed (Link status: n),3,
S778: Near HMI link ok,3,
S779: Far HMI link disturbed (Link status: n),3,
S779: Far HMI link ok,3,
S780: Track data base (TDB) check failed (Fault status: n),3,
S780: Track data base (TDB) check ok,3,
S782: Near RCS TU link disturbed (Link status: n),3,
S782: Near RCS TU link ok,3,
S783: Far RCS TU link disturbed (Link status: n),3,
S783: Far RCS TU link ok,3,
S784: RCS TU gateway A link disturbed (Link status: n),3,
